,author,comment_count,language,received_for_free,recommendationid,review,steam_purchase,timestamp_created,timestamp_updated,voted_up,votes_funny,votes_up,weighted_vote_score,written_during_early_access
0,"{'steamid': '76561198256222054', 'num_games_owned': 1, 'num_reviews': 1, 'playtime_forever': 79507, 'playtime_last_two_weeks': 0, 'last_played': 1551446801}",0,english,True,50057143,Lock region china,True,1554869068,1554869068,True,0,0,0,False
1,"{'steamid': '76561197987630480', 'num_games_owned': 173, 'num_reviews': 6, 'playtime_forever': 1665, 'playtime_last_two_weeks': 1593, 'last_played': 1554870754}",0,english,False,50057040,"This is a full-fps, I had my doubts about this game in the beginning. But now that I have 80+ hours under my belt this game is really addictive. If you get this game, have knowledge of working with yourself, by yourself, you can have friends but when it gets down to the last person, well,,,*** happens. The material is well done, woods, towns, cars/suv/boats,water, are very well done. There are a few things that can be made better..such, as post to the front screen that your servers are to busy or you are down for whatever the reason. This is a very hard game,but it is very good.......",True,1554868410,1554868410,True,0,0,0,False
2,"{'steamid': '76561197993733731', 'num_games_owned': 50, 'num_reviews': 1, 'playtime_forever': 127, 'playtime_last_two_weeks': 127, 'last_played': 1554865034}",0,english,False,50056557,Occasionally fun but still unfinished.,True,1554865063,1554865063,False,0,0,0,False
3,"{'steamid': '76561198012715980', 'num_games_owned': 32, 'num_reviews': 1, 'playtime_forever': 60, 'playtime_last_two_weeks': 60, 'last_played': 1554863763}",0,english,False,50056371,"Great game that offers hardcore military battle royale experience that no other games can.
Core gameplay is solid, with realistic bullet dynamics, interesting looting system, intense firefights, and strategic positioning to keep yourself alive. Will you take the risk of exposing your position to shoot now for more loots and one less competitor? Or sneak past to stay safe, conserve ammo and take better position for the next fights to come? You constantly face decisions and fast paced combat.

..... that being said I CANNOT BELIEVE how unpolished this game is. Is this really the state of a finished product that costs 30$ just for the multiplayer? I constantly face random freezes at the loading screen and server connection issues. This game has been out for 2 years. Two years! And yet the software and the server are so unstable

What's funnier is, that this game is consistently ranked within top 5 most played games among the steam platform, despite generally mixed reviews. I think the numbers speak for themselves. This game has some major issues but still damn good that people just suck it up and play.",True,1554863611,1554863611,False,0,2,0.511765539646148682,False
4,"{'steamid': '76561198825614992', 'num_games_owned': 3, 'num_reviews': 1, 'playtime_forever': 2066, 'playtime_last_two_weeks': 0, 'last_played': 1552289262}",0,english,True,50056146,.,True,1554862168,1554862168,True,0,0,0,False
5,"{'steamid': '76561197975013939', 'num_games_owned': 16, 'num_reviews': 2, 'playtime_forever': 1418, 'playtime_last_two_weeks': 89, 'last_played': 1554860718}",0,english,False,50055944,"Bought it for the hype, and because I hadn't played a survival game. It turned out to be one of the worst games I have played. The game engine doesn't feel smooth at all, unlike other shooter games I have played (i.e., I feel like I am running/aiming under water is the best way I can explain the feeling). The servers get put on maintenance for hours and you can't even play the game during that time, oh and btw, they do this maintenance at ~9pm (in Canada) when people would be most willing to play.",True,1554860853,1554860853,False,0,2,0.502942502498626709,False
6,"{'steamid': '76561198839039135', 'num_games_owned': 29, 'num_reviews': 2, 'playtime_forever': 1563, 'playtime_last_two_weeks': 663, 'last_played': 1554860485}",0,english,False,50055745,"whenever i try to play ""our servers are too busy try again later""

I doubt that your servers are ""too busy"" on this half ass game.",True,1554859431,1554859431,False,0,1,0.523809552192687988,False
7,"{'steamid': '76561198840782632', 'num_games_owned': 9, 'num_reviews': 1, 'playtime_forever': 6873, 'playtime_last_two_weeks': 468, 'last_played': 1554857290}",0,english,False,50055482,this game is so bad. wanna play?? too bad update it first. done? that sucks every time there is a update the game is unplayable the entire day. fun game but the way its being managed makes it absolute dog shit.,True,1554857548,1554857548,False,0,2,0.508928596973419189,False
8,"{'steamid': '76561198074989369', 'num_games_owned': 289, 'num_reviews': 5, 'playtime_forever': 4019, 'playtime_last_two_weeks': 0, 'last_played': 1529525401}",0,english,False,50055110,"Battle Royales are just glorified walking simulators.
BR esports is a joke, even though there is definitely a level of skill involved in BRs, it is too reliant on luck for me to take it seriously.",True,1554854909,1554855048,False,0,0,0.433070838451385498,False
9,"{'steamid': '76561198074849637', 'num_games_owned': 35, 'num_reviews': 3, 'playtime_forever': 102, 'playtime_last_two_weeks': 102, 'last_played': 1554838996}",0,english,False,50054236,shite,True,1554849064,1554849064,False,0,0,0.476190477609634399,False
10,"{'steamid': '76561198095335721', 'num_games_owned': 49, 'num_reviews': 1, 'playtime_forever': 19237, 'playtime_last_two_weeks': 0, 'last_played': 1534555374}",0,english,False,50054047,great game,True,1554848043,1554848043,True,0,0,0,False
11,"{'steamid': '76561198335536590', 'num_games_owned': 45, 'num_reviews': 27, 'playtime_forever': 3275, 'playtime_last_two_weeks': 0, 'last_played': 1551588470}",0,english,False,50053947,bruh,True,1554847602,1554847602,True,0,0,0,False
12,"{'steamid': '76561198860195172', 'num_games_owned': 8, 'num_reviews': 1, 'playtime_forever': 7610, 'playtime_last_two_weeks': 3509, 'last_played': 1554845607}",0,english,False,50053737,"Do you like turkish people? What about russians? Well nobody gives a fuck, you will encounter them in all your random queued games.

What about cheaters? Do you like cheats? Well nobody gives a fuck about this either, you have less than a 3% chance to NOT encounter a hacker in your next lobby. This is based off of calculations made by some intelligent individuals that started off by assuming there are at least 3.5% cheaters within the PUBG playerbase (pretty reasonable).

Oh, by the way this game is full of virgins that camp the entirety of their playtime. Your only option is to play safe and check every angle you're exposed to at any given point in time while more than 15 people are left. 

You will die by the hands of hackers, absolute cucklord campers, random idiots that kill you from the blue zone just to die 10 seconds later about 78.5% of the time. The remaning percentage goes to you actually being bad, somebody having really good aim/making very good tactical plays.

HAVE FUN! Also, friendly reminder that TPP players are real life losers.",True,1554846435,1554846715,True,1,0,0,False
13,"{'steamid': '76561198040713443', 'num_games_owned': 7, 'num_reviews': 1, 'playtime_forever': 24362, 'playtime_last_two_weeks': 410, 'last_played': 1554846413}",0,english,False,50053536,GOOD,True,1554845289,1554845289,True,0,0,0,False
14,"{'steamid': '76561198313421782', 'num_games_owned': 38, 'num_reviews': 2, 'playtime_forever': 2973, 'playtime_last_two_weeks': 122, 'last_played': 1554564157}",0,english,False,50052419,"THIS GAMES IS 15% KIDS 30% LOOTING SIMULATOR 40% TOO MANY FUC**** CHINESE PLAYER WHO USE CHEAT 10% FUN 5% FINISHED


▒█▀▀█ ▒█▀▀▀ ▒█▀▀█ ▀█▀ ▒█▀▀▀█ ▒█▄░▒█
▒█▄▄▀ ▒█▀▀▀ ▒█░▄▄ ▒█░ ▒█░░▒█ ▒█▒█▒█
▒█░▒█ ▒█▄▄▄ ▒█▄▄█ ▄█▄ ▒█▄▄▄█ ▒█░░▀█

▒█░░░ ▒█▀▀▀█ ▒█▀▀█ ▒█░▄▀
▒█░░░ ▒█░░▒█ ▒█░░░ ▒█▀▄░
▒█▄▄█ ▒█▄▄▄█ ▒█▄▄█ ▒█░▒█

▒█▀▀█ ▒█░▒█ ▀█▀ ▒█▄░▒█ ░█▀▀█
▒█░░░ ▒█▀▀█ ▒█░ ▒█▒█▒█ ▒█▄▄█
▒█▄▄█ ▒█░▒█ ▄█▄ ▒█░░▀█ ▒█░▒█",True,1554839588,1554842329,False,0,0,0.474683523178100586,False
15,"{'steamid': '76561198196932873', 'num_games_owned': 78, 'num_reviews': 2, 'playtime_forever': 2021, 'playtime_last_two_weeks': 19, 'last_played': 1554834681}",0,english,False,50051348,may be one of the worst games i have ever played im glad it died the worst servers of all time and awful map design ruined it from day one,True,1554834856,1554834856,False,0,1,0.47413790225982666,False
16,"{'steamid': '76561198159719998', 'num_games_owned': 10, 'num_reviews': 1, 'playtime_forever': 90690, 'playtime_last_two_weeks': 1549, 'last_played': 1554833721}",0,english,False,50051126,blue hole ass hole,True,1554833770,1554833770,False,0,1,0.525862038135528564,False
17,"{'steamid': '76561198064924061', 'num_games_owned': 80, 'num_reviews': 17, 'playtime_forever': 758, 'playtime_last_two_weeks': 758, 'last_played': 1554873082}",0,english,False,50050749,"It has an obnoxious price and a greedy microtransaction system. The game costs $40 like its a AAA title, yet has a store to begin with, which is bad enough, but you can also earn grates in game. You have to pay to unlock the crates though, so when it comes to gear in PUBG, You pay for it, earn it, then pay for it again. In a market saturated with battle royale games, Greed is the only thing that makes PUBG unique.",True,1554832119,1554832119,False,0,0,0,False
18,"{'steamid': '76561198347792233', 'num_games_owned': 31, 'num_reviews': 4, 'playtime_forever': 21959, 'playtime_last_two_weeks': 1107, 'last_played': 1554857649}",0,english,False,50050599,Somehow they were able to make this game worse then what it was a year ago.,True,1554831513,1554831566,False,0,0,0,False
19,"{'steamid': '76561198874900043', 'num_games_owned': 1, 'num_reviews': 1, 'playtime_forever': 5644, 'playtime_last_two_weeks': 2274, 'last_played': 1554843403}",0,english,False,50050511,good game,True,1554831109,1554831109,True,0,1,0.523809552192687988,False
20,"{'steamid': '76561198942636543', 'num_games_owned': 1, 'num_reviews': 1, 'playtime_forever': 3210, 'playtime_last_two_weeks': 3210, 'last_played': 1554845154}",0,english,False,50049874,"GG...good  game

#YOLO - you only live once",True,1554828635,1554828635,True,0,0,0,False
